state,abbrev,yr,leg_stat,alc_pm,mj_pm,cig_pm,ill_py,drg_crash,alc_crash,,,drg08,alc08,drg16,alc16,,
North Carolina,NC,2008,decrim,58.35,16.85,43.7,16.43,1.68697282099344,15.1844843897824,,,,,,,,
North Dakota,ND,2008,med,71.8,10.65,46.39,15.32,0,38.4,,,,,,,,
Ohio,OH,2008,decrim,65.37,17.26,49.54,18.75,6.171875,20.9770114942529,,,,,,,,
Oklahoma,OK,2008,no,59.12,14.18,48.56,20.56,0,15.9904534606205,,,,,,,,
Oregon,OR,2008,med,66.69,23.87,45.09,20.51,4.6831955922865,18.8888888888889,,,,,,,,
Pennsylvania,PA,2008,med,66.31,17.08,45.29,18.55,7.35376044568245,24.9194414607948,,,,,,,,
Rhode Island,RI,2008,med,71.17,27.14,41.51,22.77,14.7058823529412,32.0987654320988,,,,,,,,
South Carolina,SC,2008,no,53.32,16.88,44.29,16.99,0,0,,,,,,,,
South Dakota,SD,2008,no,70.66,13.55,49.54,16.94,7.19424460431655,30.9090909090909,,,,,,,,
Tennessee,TN,2008,no,53.4,16.64,46.98,17.43,10.1966496722505,18.1245626312106,,,,,,,,
Texas,TX,2008,no,58.49,13.45,38.36,16.11,0,0,,,,,,,,
Utah,UT,2008,no,32.09,8.21,24.94,21.53,2.62725779967159,5.41871921182266,,,,,,,,
Vermont,VT,2008,med,73.56,30.56,44.28,19.42,8.75,21.2121212121212,,,,,,,,
Virginia,VA,2008,no,60.21,15.7,41.54,18.33,2.85326086956522,30.9546769527483,,,,,,,,
Washington,WA,2008,med,60.77,17.19,41.46,20,0,25.7731958762887,,,,,,,,
West Virginia,WV,2008,no,53.45,17.46,54.2,21.21,6.77618069815195,28.33607907743,,,,,,,,
Wisconsin,WI,2008,no,71.81,17.49,45.41,22.43,1.61290322580645,28.175519630485,,,,,,,,
Wyoming,WY,2008,no,62.33,15.5,49.7,20.38,4.82456140350877,25.8181818181818,,,,,,,,
Alabama,AL,2016,no,50.18,16.48,35.28,21.52,6.00461893764434,15.0884495317378,,,,,,,,
Alaska,AK,2016,legal,55.68,26.27,34.77,27.34,7.37704918032787,24.4755244755245,,,,,,,,
Arizona,AZ,2016,med,52.61,19.09,27.99,22.39,6.35245901639344,15.5310621242485,,,,,,,,
Arkansas,AR,2016,med,48.15,15.96,33.9,24.46,3.55450236966825,12.7310061601643,,,,,,,,
California,CA,2016,legal,53.66,24.07,20.56,24.75,8.79503105590062,18.9600967351874,,,,,,,,
Colorado,CO,2016,legal,62.66,31.74,32.03,27.72,7.95631825273011,13.8781804163454,,,,,,,,
Connecticut,CT,2016,decrim,67.03,30.35,31.68,25.56,0,27.6595744680851,,,,,,,,
Delaware,DE,2016,decrim,54.78,23.73,27.74,23.52,28.8,29.4478527607362,,,,,,,,
District of Columbia,DC,2016,legal,69.71,34.85,28.77,23.89,30,33.3333333333333,,,,,,,,
Florida,FL,2016,med,56.43,22.39,25.51,22.74,9.98212918049528,14.2962598425197,,,,,,,,
Georgia,GA,2016,med,50.71,18.38,30.46,21.26,5.61097256857855,9.09090909090909,,,,,,,,
Hawaii,HI,2016,med,55.13,17.45,25.14,22.94,23.4042553191489,29.6875,,,,,,,,
Idaho,ID,2016,no,49.44,16.07,32.96,27.79,15.0159744408946,19.8757763975155,,,,,,,,
Illinois,IL,2016,med,59.68,23.51,29.09,22.82,7.03399765533412,16,,,,,,,,
Indiana,IN,2016,no,59.83,20.7,33.29,27.45,11.413612565445,13.6504653567735,,,,,,,,
Iowa,IA,2016,no,64.91,17.29,37.22,25.26,11.6883116883117,16.4814814814815,,,,,,,,
Kansas,KS,2016,no,59.53,16.04,31.73,24.72,7.72058823529412,13.3699633699634,,,,,,,,
Kentucky,KY,2016,no,49.27,17.38,40.64,22.83,4.42708333333333,10.8547008547009,,,,,,,,
Louisiana,LA,2016,med,54.27,18.8,34.52,19.67,19.1588785046729,21.4525139664804,,,,,,,,
Maine,ME,2016,legal,64.29,34.38,35.21,26.59,0,46.5753424657534,,,,,,,,
Maryland,MD,2016,decrim,59.08,26.24,26.1,23.18,3.27272727272727,11.8243243243243,,,,,,,,
Massachusetts,MA,2016,legal,70.51,30.27,29.16,26.23,0,31.638418079096,,,,,,,,
Michigan,MI,2016,legal,58.9,24.24,30.32,24.05,6.24580255204836,13.758389261745,,,,,,,,
Minnesota,MN,2016,decrim,65.46,19.12,34.44,28.73,5.2060737527115,13.8228941684665,,,,,,,,
Mississippi,MS,2016,decrim,44.24,15.79,33.81,19.7,0.548446069469835,6.54044750430293,,,,,,,,
Missouri,MO,2016,decrim,55.78,18.57,31.33,23.27,0,18.8235294117647,,,,,,,,
Montana,MT,2016,med,64.38,25.13,38.2,26.11,19.9288256227758,35.7377049180328,,,,,,,,
Nebraska,NE,2016,decrim,62.94,18.76,35.9,24.79,8.87096774193548,21.9512195121951,,,,,,,,
Nevada,NV,2016,legal,49.94,25.86,27.75,24.82,20.8920187793427,21.889400921659,,,,,,,,
New Hampshire,NH,2016,decrim,69.33,28.93,33.53,26.7,42.6573426573427,28.0254777070064,,,,,,,,
New Jersey,NJ,2016,med,59.91,22.34,29.89,20.96,15.6208277703605,17.5324675324675,,,,,,,,
New Mexico,NM,2016,med,53.37,24.39,31.42,24.08,2.8391167192429,21.7391304347826,,,,,,,,
New York,NY,2016,decrim,62.07,23.35,26.09,23.63,0,21.7889908256881,,,,,,,,
North Carolina,NC,2016,decrim,49.57,19.04,33.9,22.32,2.69865067466267,17.1222279525529,,,,,,,,
North Dakota,ND,2016,med,67.58,14.5,35.27,23.9,6.95652173913043,37.593984962406,,,,,,,,
Ohio,OH,2016,decrim,58.68,21.27,36.6,25.42,8.94409937888199,16.2732919254658,,,,,,,,
Oklahoma,OK,2016,med,52.6,16.8,33.92,23.59,6.47058823529412,18.2608695652174,,,,,,,,
Oregon,OR,2016,legal,62.7,33.15,32.31,27.85,5.93220338983051,12.007874015748,,,,,,,,
Pennsylvania,PA,2016,med,60.3,21.38,34.6,24.38,9.81549815498155,17.1626297577855,,,,,,,,
Rhode Island,RI,2016,decrim,67.96,31.86,28.22,24.76,24.3243243243243,40,,,,,,,,
South Carolina,SC,2016,no,53.32,18.38,34.25,23.73,12.2764227642276,18.8027628549501,,,,,,,,
South Dakota,SD,2016,no,64.44,18.25,39.09,23.75,5.74712643678161,34.5864661654135,,,,,,,,
Tennessee,TN,2016,no,50.52,19.49,36.05,23.9,13.3910386965377,10.993444276349,,,,,,,,
Texas,TX,2016,no,51.65,14.63,27.24,21.62,0,0,,,,,,,,
Utah,UT,2016,med,36.17,14.71,20.35,28.99,6.81114551083591,12.7329192546584,,,,,,,,
Vermont,VT,2016,legal,70.91,38.8,42.76,30.05,19.2660550458716,24.7706422018349,,,,,,,,
Virginia,VA,2016,no,58.85,18.47,30.23,25.39,4.2483660130719,16.4705882352941,,,,,,,,
Washington,WA,2016,legal,60.41,26.48,28.07,24.81,0,21.5613382899628,,,,,,,,
West Virginia,WV,2016,med,53.31,16.94,43.82,23.96,7.5,16.1073825503356,,,,,,,,
Wisconsin,WI,2016,no,68.43,18.82,32.32,25.53,0,27.8125,,,,,,,,
Wyoming,WY,2016,no,57.76,16.5,38.59,26.55,15.4929577464789,18.0555555555556,,,,,,,,
